id,session_id,session_name,device_id,body_location,device_ts_ms,wall_clock_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
157082,3136063,1779111225561,-8.62,1.54,5.13,-37.375,-69.75,23.125,-0.49316406,0.29156494,-0.30639648,-0.7601929,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157084,3136089,1779111225562,-8.01,1.05,5.0,-39.0,-49.0625,24.8125,-0.48797607,0.2841797,-0.29284668,-0.77160645,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157086,3136106,1779111225563,-7.8,0.9,6.71,-35.625,-39.375,25.5,-0.48486328,0.28063965,-0.2859497,-0.7774048,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157089,3136127,1779111225600,-7.71,0.75,7.15,-28.375,-55.0625,20.5625,-0.4819336,0.27581787,-0.27856445,-0.7836304,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157090,3136147,1779111225601,-6.63,1.35,7.0,-20.5625,-68.375,17.875,-0.48156738,0.2680664,-0.27105713,-0.7891846,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157092,3136170,1779111225624,-6.2,1.6,6.53,-17.0625,-65.5,18.375,-0.48132324,0.2597046,-0.2640381,-0.7944336,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157095,3136196,1779111225653,-6.71,1.51,6.69,-15.5,-59.125,16.875,-0.480896,0.24822998,-0.2546997,-0.8013916,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157097,3136234,1779111225687,-7.2,1.92,7.39,-7.0,-84.4375,15.75,-0.48199463,0.22784424,-0.24084473,-0.81103516,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157098,3136213,1779111225687,-7.26,1.69,7.25,-11.9375,-66.125,15.6875,-0.48101807,0.24389648,-0.25152588,-0.80371094,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157101,3136259,1779111225713,-6.4,2.44,6.56,-7.6875,-86.625,17.0625,-0.48266602,0.21582031,-0.23321533,-0.8161011,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157103,3136273,1779111225742,-5.0,1.98,6.75,-12.375,-84.5625,20.1875,-0.48138428,0.21044922,-0.22894287,-0.819458,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157104,3136296,1779111225745,-5.0,1.52,7.86,-13.25,-83.5,18.125,-0.4812622,0.19415283,-0.21728516,-0.8267212,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157107,3136317,1779111225767,-4.07,1.53,8.01,-12.0,-78.125,15.5,-0.48028564,0.18353271,-0.20916748,-0.8317871,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157108,3136336,1779111225797,-3.71,1.87,7.82,-11.625,-65.5625,13.5,-0.48034668,0.17437744,-0.20239258,-0.8353882,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157109,3136357,1779111225798,-3.37,1.83,7.68,-12.625,-53.5,10.4375,-0.48028564,0.16693115,-0.1963501,-0.8383789,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157113,3136377,1779111225834,-3.68,1.54,8.0,-15.0625,-35.75,7.8125,-0.47955322,0.16223145,-0.19116211,-0.8409424,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157114,3136406,1779111225857,-3.98,1.59,8.66,-15.3125,-29.875,5.875,-0.47912598,0.15899658,-0.18670654,-0.84277344,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157118,3136422,1779111225892,-3.9,1.35,8.88,-13.625,-25.1875,4.3125,-0.4779663,0.15637207,-0.18243408,-0.84484863,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157119,3136446,1779111225892,-3.62,1.28,8.88,-8.1875,-2.0625,2.5,-0.47735596,0.1550293,-0.17895508,-0.8461914,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157120,3136462,1779111225917,-4.19,1.25,9.11,-5.9375,8.5625,2.0,-0.47705078,0.15582275,-0.17889404,-0.84625244,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157124,3136485,1779111225951,-5.14,1.25,9.0,0.6875,13.5625,-1.1875,-0.47607422,0.15942383,-0.18041992,-0.8458252,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157125,3136508,1779111225952,-4.68,1.42,8.71,4.5625,12.375,-2.6875,-0.47613525,0.16088867,-0.18182373,-0.8451538,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157126,3136526,1779111225977,-4.78,1.47,8.63,6.5625,13.0,-3.1875,-0.4763794,0.16235352,-0.18365479,-0.84436035,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157130,3136548,1779111226007,-4.39,1.52,8.41,7.6875,16.0,-4.125,-0.47668457,0.16400146,-0.18579102,-0.8434448,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157131,3136570,1779111226037,-5.01,1.62,8.47,7.75,16.5625,-5.125,-0.47607422,0.16619873,-0.18798828,-0.8428345,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157132,3136594,1779111226038,-4.88,1.7,8.38,6.625,4.6875,-5.4375,-0.4767456,0.16699219,-0.18945312,-0.84198,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157136,3136608,1779111226067,-4.34,1.99,8.08,4.0,-1.875,-5.1875,-0.47766113,0.16668701,-0.1899414,-0.84143066,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157140,3136633,1779111226127,-3.88,1.99,8.03,-0.25,-1.8125,-4.5625,-0.47821045,0.16644287,-0.18969727,-0.8411865,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157141,3136653,1779111226135,-4.66,1.99,8.32,-4.5625,2.6875,-3.1875,-0.47857666,0.16711426,-0.18927002,-0.8409424,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157142,3136667,1779111226157,-4.85,1.84,8.7,-9.5,-5.0625,-1.3125,-0.4786377,0.1675415,-0.18780518,-0.8411255,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157143,3136708,1779111226157,-5.52,2.28,8.99,-14.0625,-35.0,6.1875,-0.47851562,0.16326904,-0.18096924,-0.8435669,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157147,3136736,1779111226192,-3.47,2.0,8.56,-19.0,-49.1875,11.375,-0.4765625,0.15802002,-0.17468262,-0.84698486,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157148,3136755,1779111226218,-3.65,1.45,9.22,-22.25,-37.5,16.75,-0.4741211,0.15118408,-0.16552734,-0.8514404,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157149,3136770,1779111226221,-3.81,0.91,9.91,-20.875,-36.25,17.3125,-0.47229004,0.14929199,-0.16265869,-0.8533325,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157153,3136795,1779111226252,-3.79,0.87,9.93,-16.3125,-33.625,17.9375,-0.46905518,0.14318848,-0.15576172,-0.8574219,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157154,3136836,1779111226280,-3.33,1.1,9.12,-10.9375,-17.8125,18.8125,-0.46417236,0.13897705,-0.15100098,-0.8616333,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157155,3136810,1779111226280,-3.58,0.97,9.28,-12.0,-28.4375,19.25,-0.4678955,0.14135742,-0.1539917,-0.8587036,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157159,3136855,1779111226309,-3.53,1.17,9.19,-10.0625,-17.5,17.0,-0.46081543,0.13574219,-0.1473999,-0.864624,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157160,3136871,1779111226337,-3.29,1.24,9.28,-9.25,-15.5,15.6875,-0.4580078,0.1350708,-0.1459961,-0.86639404,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157164,3136898,1779111226369,-3.65,1.26,9.08,-8.5,-14.75,15.0,-0.45599365,0.13311768,-0.1439209,-0.868103,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157165,3136915,1779111226378,-3.63,1.28,9.05,-7.125,-16.6875,12.9375,-0.45336914,0.13000488,-0.14093018,-0.87042236,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157166,3136933,1779111226399,-3.38,1.28,8.93,-5.8125,-13.375,11.0,-0.45269775,0.12908936,-0.14013672,-0.87109375,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157167,3136956,1779111226402,-3.05,1.41,8.6,-4.3125,-2.875,7.75,-0.45080566,0.12792969,-0.13861084,-0.87249756,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157171,3136972,1779111226434,-3.81,1.24,8.61,-3.8125,-2.875,6.4375,-0.449646,0.12786865,-0.1381836,-0.87316895,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157172,3136997,1779111226459,-3.58,1.35,8.74,-1.75,-7.1875,5.0625,-0.44854736,0.12658691,-0.13708496,-0.8740845,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157173,3137013,1779111226461,-3.17,1.34,8.84,-0.875,-5.0,4.75,-0.4482422,0.12615967,-0.13690186,-0.8743286,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
157177,3137035,1779111226493,-3.25,1.47,8.81,0.5,3.0,3.75,-0.4473877,0.12615967,-0.13708496,-0.87475586,2026-05-18T18:11:04.618863,3,Device1Uppercut,1
