id,session_id,session_name,device_id,body_location,device_ts_ms,wall_clock_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
161039,3422662,1779111512177,-2.66,8.24,3.2,3.75,1.25,-4.875,-0.42163086,-0.11883545,-0.5718994,-0.6936035,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161044,3422687,1779111512200,-3.13,8.21,3.34,4.3125,-5.5,-4.3125,-0.4225464,-0.119018555,-0.5720215,-0.6928711,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161041,3422723,1779111512201,-2.9,8.1,3.35,5.6875,-13.0,-5.75,-0.42541504,-0.12121582,-0.57177734,-0.69091797,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161043,3422700,1779111512201,-3.27,8.11,3.46,4.8125,-9.375,-4.5625,-0.42364502,-0.11981201,-0.57196045,-0.6921387,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161048,3422744,1779111512215,-2.6,8.25,3.33,6.25,-9.875,-7.25,-0.42718506,-0.12225342,-0.5718994,-0.6895752,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161049,3422769,1779111512216,-2.33,8.47,3.21,6.25,-3.375,-8.9375,-0.42816162,-0.12225342,-0.57244873,-0.68847656,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161051,3422790,1779111512257,-2.7,8.67,3.45,5.125,9.1875,-9.4375,-0.42840576,-0.11999512,-0.57458496,-0.6870117,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161052,3422806,1779111512273,-3.55,8.7,3.63,4.1875,11.9375,-8.375,-0.4272461,-0.11816406,-0.5755005,-0.68725586,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161056,3422829,1779111512313,-3.46,8.74,3.69,4.375,0.25,-6.875,-0.42767334,-0.117370605,-0.576355,-0.68640137,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161057,3422847,1779111512314,-3.15,8.85,3.63,3.875,-4.5625,-5.0625,-0.4286499,-0.11755371,-0.57666016,-0.68548584,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161059,3422865,1779111512339,-3.14,8.94,3.52,3.125,-2.375,-3.25,-0.4293213,-0.11785889,-0.5769043,-0.68481445,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161062,3422894,1779111512366,-3.28,8.88,3.4,1.9375,-1.1875,-1.6875,-0.4296875,-0.11798096,-0.5770874,-0.6843872,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161063,3422910,1779111512369,-3.3,8.91,3.34,0.9375,-2.5625,0.0625,-0.43017578,-0.11859131,-0.57647705,-0.6845703,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161065,3422934,1779111512394,-3.25,8.77,3.32,-0.375,-6.0,2.375,-0.4303589,-0.119018555,-0.57611084,-0.68463135,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161068,3422951,1779111512419,-3.13,8.48,3.3,-0.8125,-10.25,3.625,-0.43078613,-0.12072754,-0.57476807,-0.68518066,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161069,3422973,1779111512421,-2.82,8.54,3.2,-1.4375,-10.0625,3.625,-0.4310913,-0.12145996,-0.5742798,-0.68530273,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161071,3422992,1779111512447,-2.55,8.46,3.15,-2.8125,-0.6875,2.5,-0.4312744,-0.12237549,-0.5733032,-0.68585205,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161074,3423021,1779111512477,-2.99,8.23,3.33,-2.875,1.5625,0.75,-0.4321289,-0.123046875,-0.57281494,-0.6855469,2026-05-18T18:11:09.497317,4,Device1hookfront,1
