id,session_id,session_name,device_id,body_location,device_ts_ms,wall_clock_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
152756,3021447,1779111110943,-1.4,-9.54,2.16,-0.25,0.8125,0.125,-0.7175293,0.5246582,-0.33392334,0.3137207,2026-05-18T18:10:59.145984,2,Device1,1
152759,3021487,1779111110945,-1.46,-9.44,2.25,-0.125,1.625,0.9375,-0.7173462,0.52441406,-0.33441162,0.3139038,2026-05-18T18:10:59.145984,2,Device1,1
152760,3021462,1779111110945,-1.48,-9.46,2.22,-0.125,1.8125,0.5625,-0.7174072,0.52459717,-0.33410645,0.31384277,2026-05-18T18:10:59.145984,2,Device1,1
152762,3021506,1779111110961,-1.35,-9.4,2.29,-0.375,1.4375,0.9375,-0.7173462,0.524292,-0.33465576,0.31396484,2026-05-18T18:10:59.145984,2,Device1,1
152765,3021528,1779111111023,-1.33,-9.45,2.33,-0.4375,1.625,0.5,-0.71728516,0.5241699,-0.33477783,0.3140869,2026-05-18T18:10:59.145984,2,Device1,1
152766,3021543,1779111111023,-1.44,-9.48,2.29,-0.1875,1.8125,-0.0625,-0.7171631,0.5241089,-0.33496094,0.31427002,2026-05-18T18:10:59.145984,2,Device1,1
152769,3021567,1779111111045,-1.49,-9.42,2.33,0.3125,1.3125,-0.1875,-0.71710205,0.5239868,-0.33514404,0.31445312,2026-05-18T18:10:59.145984,2,Device1,1
152771,3021594,1779111111062,-1.49,-9.39,2.26,0.25,0.0,-0.3125,-0.71710205,0.5239868,-0.33514404,0.31445312,2026-05-18T18:10:59.145984,2,Device1,1
152772,3021608,1779111111066,-1.44,-9.38,2.26,0.4375,-0.4375,-0.3125,-0.71710205,0.5239258,-0.33514404,0.31445312,2026-05-18T18:10:59.145984,2,Device1,1
152776,3021634,1779111111117,-1.43,-9.36,2.19,0.5,-0.4375,-0.0625,-0.71710205,0.5239868,-0.335083,0.31445312,2026-05-18T18:10:59.145984,2,Device1,1
152777,3021656,1779111111118,-1.45,-9.35,2.18,0.375,-0.125,-0.125,-0.71710205,0.5239868,-0.335083,0.31445312,2026-05-18T18:10:59.145984,2,Device1,1
152779,3021692,1779111111154,-1.51,-9.39,2.12,-0.25,-1.625,-0.3125,-0.7172241,0.5241089,-0.33483887,0.31433105,2026-05-18T18:10:59.145984,2,Device1,1
152781,3021674,1779111111154,-1.58,-9.36,2.13,-0.0625,-0.875,-0.25,-0.7171631,0.5239868,-0.335083,0.3143921,2026-05-18T18:10:59.145984,2,Device1,1
152783,3021715,1779111111178,-1.16,-9.63,2.2,-0.25,-0.625,-1.3125,-0.71710205,0.52423096,-0.3347168,0.3145752,2026-05-18T18:10:59.145984,2,Device1,1
152785,3021737,1779111111219,-1.29,-9.63,2.25,0.125,4.8125,-1.125,-0.71673584,0.5239258,-0.33538818,0.31518555,2026-05-18T18:10:59.145984,2,Device1,1
