id,session_id,session_name,device_id,body_location,device_ts_ms,wall_clock_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
164825,3716868,1779111806351,-3.52,-0.8,9.0,-0.25,-0.9375,0.0,0.81817627,0.072143555,0.18188477,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164827,3716885,1779111806351,-3.64,-0.74,9.12,0.0625,0.1875,0.125,0.81817627,0.072143555,0.18188477,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164830,3716908,1779111806357,-3.69,-0.75,9.08,0.1875,0.875,0.0625,0.81811523,0.07220459,0.1819458,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164832,3716927,1779111806401,-3.62,-0.78,9.02,0.125,0.0625,-0.0625,0.81811523,0.07220459,0.1819458,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164834,3716949,1779111806422,-3.56,-0.78,9.05,0.0625,-0.5625,0.0,0.81811523,0.07220459,0.1819458,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164835,3716967,1779111806422,-3.6,-0.77,9.07,-0.0625,0.0,0.0,0.81817627,0.072143555,0.18188477,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164837,3716984,1779111806449,-3.62,-0.77,9.07,-0.125,0.3125,0.0,0.81817627,0.072143555,0.18188477,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164840,3717011,1779111806479,-3.63,-0.78,9.05,0.0,0.3125,-0.125,0.81811523,0.07220459,0.1819458,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164841,3717028,1779111806480,-3.63,-0.77,9.07,-0.0625,-0.1875,-0.125,0.81811523,0.07220459,0.1819458,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164844,3717049,1779111806519,-3.59,-0.75,9.08,0.0,-0.5625,-0.0625,0.81811523,0.07220459,0.1819458,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164845,3717068,1779111806520,-3.6,-0.78,9.04,0.0,0.25,-0.0625,0.81811523,0.07220459,0.1819458,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164846,3717096,1779111806553,-3.6,-0.77,9.06,0.0625,0.5,0.0625,0.81811523,0.07220459,0.18200684,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164848,3717116,1779111806567,-3.65,-0.77,9.07,0.125,0.125,-0.0625,0.81811523,0.07220459,0.18200684,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164851,3717134,1779111806599,-3.61,-0.78,9.1,0.0625,-0.4375,0.0625,0.81811523,0.07220459,0.18200684,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164853,3717160,1779111806627,-3.58,-0.76,9.08,-0.0625,-0.1875,-0.0625,0.81811523,0.07220459,0.18200684,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164854,3717178,1779111806628,-3.61,-0.76,9.07,0.1875,0.375,-0.0625,0.81811523,0.07220459,0.18200684,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164857,3717198,1779111806658,-3.62,-0.75,9.07,0.0,0.125,-0.125,0.81811523,0.07220459,0.18200684,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164859,3717219,1779111806687,-3.6,-0.79,9.05,0.1875,-0.25,0.0,0.81811523,0.07220459,0.18200684,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164860,3717237,1779111806690,-3.62,-0.75,9.07,0.0625,-0.125,-0.125,0.81811523,0.07220459,0.18200684,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164862,3717258,1779111806717,-3.61,-0.77,9.07,0.0625,0.125,0.0,0.81811523,0.07220459,0.18200684,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164865,3717302,1779111806753,-3.63,-0.77,9.07,0.125,-0.0625,0.0625,0.81811523,0.07220459,0.18200684,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164866,3717283,1779111806753,-3.62,-0.74,9.06,-0.0625,0.25,0.0,0.81811523,0.07220459,0.18200684,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164868,3717327,1779111806778,-3.61,-0.77,9.05,-0.0625,-0.1875,0.0,0.81811523,0.07220459,0.18200684,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164870,3717338,1779111806807,-3.6,-0.8,9.1,0.0,-0.0625,-0.125,0.81811523,0.07220459,0.18200684,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164871,3717367,1779111806808,-3.62,-0.76,9.04,0.1875,0.125,-0.0625,0.81811523,0.07220459,0.18200684,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164874,3717380,1779111806838,-3.62,-0.79,9.06,0.0625,0.0625,-0.125,0.81811523,0.07220459,0.18200684,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164876,3717409,1779111806868,-3.61,-0.76,9.06,0.0,-0.125,0.0,0.81811523,0.07220459,0.18200684,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164877,3717424,1779111806868,-3.62,-0.78,9.05,-0.0625,-0.1875,0.0,0.81811523,0.07220459,0.18200684,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164880,3717444,1779111806897,-3.62,-0.76,9.08,0.0,0.125,0.0,0.81811523,0.07220459,0.18200684,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164882,3717467,1779111806928,-3.62,-0.78,9.06,0.0,0.25,0.0625,0.81811523,0.07220459,0.18200684,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164883,3717484,1779111806929,-3.61,-0.78,9.07,0.0,0.1875,0.125,0.81811523,0.07220459,0.18200684,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164886,3717508,1779111806958,-3.63,-0.77,9.07,-0.0625,-0.125,-0.0625,0.81811523,0.07220459,0.18200684,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
164888,3717528,1779111806989,-3.63,-0.78,9.07,-0.125,0.0,0.0,0.81811523,0.07220459,0.18200684,-0.5406494,2026-05-18T18:11:13.826015,5,Device3Jab,1
