id,session_id,session_name,device_id,body_location,device_ts_ms,wall_clock_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
168169,3785509,1779111875015,-3.57,-0.75,9.04,0.0625,0.0,-0.125,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168170,3785528,1779111875015,-3.61,-0.79,9.12,0.125,-0.5,-0.0625,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168173,3785550,1779111875016,-3.58,-0.83,9.08,-0.0625,-0.1875,-0.0625,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168176,3785568,1779111875034,-3.56,-0.76,9.09,0.125,0.5,0.0625,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168179,3785608,1779111875069,-3.63,-0.74,9.08,0.1875,-0.3125,-0.125,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168180,3785591,1779111875069,-3.58,-0.74,9.08,-0.0625,-0.25,-0.1875,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168182,3785632,1779111875099,-3.52,-0.79,9.05,0.0,0.3125,0.0,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168185,3785668,1779111875121,-3.57,-0.76,9.08,0.0,0.1875,0.0,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168186,3785651,1779111875121,-3.55,-0.76,9.09,0.0625,0.125,0.0625,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168188,3785690,1779111875150,-3.59,-0.77,9.09,0.0625,-0.125,0.0625,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168190,3785712,1779111875184,-3.59,-0.76,9.07,0.125,-0.125,0.0625,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168192,3785730,1779111875189,-3.57,-0.78,9.07,0.0625,0.0,-0.0625,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168194,3785748,1779111875209,-3.57,-0.77,9.1,-0.0625,0.0,-0.0625,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168196,3785770,1779111875246,-3.59,-0.77,9.09,-0.1875,0.0,0.125,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168197,3785790,1779111875246,-3.58,-0.79,9.07,-0.0625,-0.25,0.0625,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168200,3785827,1779111875270,-3.58,-0.76,9.11,0.0625,-0.125,0.0625,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168201,3785810,1779111875270,-3.55,-0.76,9.07,-0.125,-0.125,0.0,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168203,3785848,1779111875298,-3.58,-0.76,9.11,0.0,0.0625,-0.125,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168206,3785869,1779111875327,-3.58,-0.77,9.09,0.0,-0.0625,0.0625,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168208,3785898,1779111875359,-3.58,-0.77,9.1,-0.125,0.0625,0.0625,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168209,3785909,1779111875359,-3.6,-0.77,9.08,-0.125,-0.25,-0.125,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168212,3785939,1779111875387,-3.59,-0.76,9.09,0.0625,0.0,0.0,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168214,3785957,1779111875417,-3.58,-0.76,9.09,0.125,-0.0625,0.0,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168215,3785972,1779111875418,-3.56,-0.77,9.09,0.0625,0.0625,0.0,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168218,3785997,1779111875448,-3.58,-0.75,9.06,0.125,0.1875,0.1875,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168220,3786018,1779111875477,-3.58,-0.77,9.08,0.0,0.0,0.0,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168223,3786038,1779111875507,-3.58,-0.76,9.1,0.0,0.125,-0.0625,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168224,3786058,1779111875508,-3.58,-0.77,9.06,-0.0625,0.0625,0.0,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168226,3786077,1779111875537,-3.59,-0.74,9.11,0.0,0.375,0.0625,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168229,3786099,1779111875569,-3.58,-0.76,9.08,0.1875,0.125,-0.0625,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168231,3786118,1779111875602,-3.6,-0.78,9.1,0.0625,-0.1875,0.0625,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168232,3786139,1779111875602,-3.58,-0.76,9.09,0.0625,-0.1875,-0.0625,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168235,3786159,1779111875629,-3.58,-0.77,9.06,0.0625,0.0,0.0625,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168236,3786178,1779111875629,-3.57,-0.76,9.08,0.0625,0.0625,-0.125,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168238,3786198,1779111875659,-3.58,-0.78,9.09,0.0,-0.25,0.0625,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168241,3786222,1779111875690,-3.58,-0.77,9.08,0.1875,-0.3125,-0.125,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168242,3786239,1779111875691,-3.57,-0.77,9.1,0.0625,0.1875,0.0,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168244,3786260,1779111875724,-3.59,-0.78,9.07,0.0,0.375,0.0,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168247,3786280,1779111875752,-3.59,-0.76,9.09,0.125,0.0625,0.0,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168248,3786301,1779111875752,-3.56,-0.79,9.08,-0.125,-0.3125,0.0,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168250,3786339,1779111875779,-3.57,-0.76,9.11,0.0,0.25,0.0,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168251,3786319,1779111875779,-3.57,-0.77,9.09,0.0,-0.0625,0.0625,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168255,3786368,1779111875840,-3.58,-0.78,9.07,-0.1875,0.125,-0.0625,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
168257,3786379,1779111875843,-3.57,-0.76,9.11,0.0,-0.3125,0.0625,0.81829834,0.07171631,0.18121338,-0.54071045,2026-05-18T18:11:18.093813,6,Device3uppercut,1
