session_name,device_id,body_location,device_ts_ms,wall_clock_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1c,4,None,29612974,1779733584958,6.431209,-1.8210382,-1.9860427,-2.44496,6.8611116,2.533728,-136.14258,-67.127884,238.87558,0.0
1c,1,None,3610042,1779733584958,-9.59,-1.61,-0.38,0.0625,0.4375,0.4375,-0.5615845,0.5120239,-0.5048218,-0.40942383
1c,1,None,3610062,1779733584960,-9.58,-1.61,-0.36,0.5,-0.375,0.1875,-0.5615845,0.5119629,-0.5048218,-0.40948486
1c,2,None,652051,1779733584960,-8.105142,0.5219705,4.8885365,-6.723362,-2.0137596,2.097619,6.798984,58.647503,201.01712,0.0
1c,3,None,3410076,1779733584960,15.895722,-7.6040936,-4.5415773,-2.8942237,-14.300301,50.43922,-108.01342,-57.100548,340.9621,0.0
1c,1,None,3610080,1779733584965,-9.59,-1.66,-0.3,0.4375,-1.0,0.25,-0.5616455,0.5119629,-0.50476074,-0.40948486
1c,1,None,3610100,1779733584970,-9.59,-1.63,-0.3,0.25,-0.9375,0.1875,-0.56170654,0.51190186,-0.5046387,-0.40960693
1c,4,None,29613035,1779733584973,6.424031,-1.8736802,-2.0434706,-3.84496,6.161112,0.7837279,-136.24547,-67.09304,238.96849,0.0
1c,2,None,652141,1779733585018,-8.059678,0.54829156,4.9603214,-6.303362,-1.3837599,1.887619,6.7370462,58.59644,200.96643,0.0
1c,3,None,3410136,1779733585019,17.28356,-7.881662,-4.5296135,-23.404224,-14.1603,70.52922,-108.107475,-57.125896,341.03265,0.0
1c,1,None,3610145,1779733585029,-9.58,-1.64,-0.37,0.6875,-1.0625,-0.0625,-0.5620117,0.5115967,-0.50445557,-0.409729
1c,1,None,3610124,1779733585029,-9.59,-1.65,-0.34,0.4375,-1.0625,0.125,-0.56188965,0.5117798,-0.5045166,-0.409729
1c,4,None,29613094,1779733585029,6.3881383,-1.7875386,-1.9094725,-5.31496,4.201112,1.693728,-136.3087,-67.15969,239.02446,0.0
