session_name,device_id,body_location,device_ts_ms,wall_clock_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1d,1,Left Ankle,3828341,1779733803266,-9.58,-1.31,-0.52,-0.375,-0.625,-0.0625,-0.58203125,0.46313477,-0.56292725,-0.36035156
1d,1,Left Ankle,3828367,1779733803267,-9.61,-1.28,-0.56,-0.1875,-1.0,0.0625,-0.5821533,0.46307373,-0.5628052,-0.36047363
1d,2,Right Ankle,870397,1779733803268,-9.007236,1.1943537,1.6773688,-5.743362,-1.8737599,1.817619,37.303196,76.741684,237.51357,0.0
1d,1,Left Ankle,3828384,1779733803268,-9.61,-1.31,-0.52,-0.0625,-1.3125,-0.0625,-0.5822754,0.4630127,-0.5626831,-0.3605957
1d,4,Right Wrist,29831321,1779733803269,10.88186,-4.2569313,-3.4863427,-17.49496,-3.2188883,-2.296272,-123.81551,-58.322666,222.80775,0.0
1d,3,Left Wrist,3628392,1779733803269,17.66641,-4.7973127,-0.34217364,1.1657764,-10.100301,46.16922,-94.72956,-74.574036,329.1196,0.0
1d,1,Left Ankle,3828401,1779733803277,-9.66,-1.29,-0.42,-0.0625,-1.3125,0.0625,-0.58239746,0.46289062,-0.5625,-0.36065674
1d,1,Left Ankle,3828425,1779733803313,-9.68,-1.31,-0.31,-0.375,-0.3125,0.0625,-0.58258057,0.4628296,-0.5623779,-0.3607788
1d,1,Left Ankle,3828445,1779733803315,-9.62,-1.33,-0.33,-0.4375,-0.625,0.25,-0.5827637,0.46270752,-0.5621948,-0.36083984
1d,2,Right Ankle,870458,1779733803316,-8.97613,1.2613527,1.6893327,-6.163362,-3.6237597,3.847619,37.004333,76.760826,237.2248,0.0
1d,4,Right Wrist,29831380,1779733803317,11.626027,-4.158826,-3.2398818,-21.13496,-28.698889,-20.146273,-123.873436,-58.392292,222.85721,0.0
1d,3,Left Wrist,3628452,1779733803319,17.604198,-4.596316,-0.43070808,0.8157764,-10.800301,46.72922,-94.798004,-74.63078,329.1865,0.0
