session_name,device_id,body_location,device_ts_ms,wall_clock_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1e,4,Right Wrist,29994885,1779733966846,6.187141,-2.266103,-3.2877383,-3.56496,7.211112,4.7037277,-145.33586,-57.094986,246.08745,0.0
1e,2,Right Ankle,1033931,1779733966868,-8.389888,2.984185,2.794817,-5.953362,-0.89375985,2.377619,47.249634,64.266975,251.19984,0.0
1e,1,Left Ankle,3991970,1779733966868,-9.48,-1.51,-1.15,0.25,-0.0625,0.0,-0.57647705,0.463562,-0.5917969,-0.3203125
1e,3,Left Wrist,3791987,1779733966868,16.994028,-8.120944,-3.6658041,-3.8042235,-14.930301,54.70922,-110.26736,-49.22973,333.64243,0.0
1e,1,Left Ankle,3991998,1779733966870,-9.52,-1.48,-1.25,0.3125,-0.875,0.0,-0.5765381,0.46350098,-0.59173584,-0.32037354
1e,1,Left Ankle,3992009,1779733966870,-9.47,-1.5,-1.25,0.3125,-1.25,0.0625,-0.5765991,0.46343994,-0.59161377,-0.32043457
1e,4,Right Wrist,29994945,1779733966871,6.27089,-2.3378878,-3.3834512,-5.03496,6.161112,5.263728,-145.33704,-57.03401,246.08548,0.0
1e,2,Right Ankle,1034022,1779733966897,-8.387495,2.9698281,2.7182467,-5.603362,-1.3137599,2.097619,47.349026,64.298874,251.29123,0.0
1e,1,Left Ankle,3992035,1779733966899,-9.5,-1.51,-1.19,0.75,-1.5,-0.0625,-0.5767822,0.46331787,-0.5914917,-0.3204956
1e,3,Left Wrist,3792046,1779733966908,17.242882,-8.369797,-3.7591243,-15.0742235,-15.140301,70.94922,-110.28449,-49.27703,333.64908,0.0
1e,1,Left Ankle,3992049,1779733966926,-9.52,-1.49,-1.15,0.875,-1.875,-0.1875,-0.57702637,0.46313477,-0.5913696,-0.32055664
1e,4,Right Wrist,29995005,1779733966935,6.146463,-2.189533,-3.37388,-4.96496,3.4311118,6.1037283,-145.44537,-57.01916,246.17357,0.0
1e,2,Right Ankle,1034082,1779733966936,-8.310925,2.943507,2.7876384,-6.583362,-2.4337597,2.517619,47.25151,64.261826,251.20541,0.0
1e,1,Left Ankle,3992075,1779733966962,-9.51,-1.5,-1.14,0.8125,-1.8125,0.0,-0.57733154,0.46295166,-0.59124756,-0.3206787
1e,1,Left Ankle,3992099,1779733966962,-9.49,-1.51,-1.18,1.0,-1.4375,-0.0625,-0.57751465,0.46276855,-0.5911255,-0.3206787
1e,3,Left Wrist,3792107,1779733966970,17.759731,-7.8744826,-4.022335,43.725777,-17.7303,79.27922,-110.28826,-49.321194,333.661,0.0
1e,1,Left Ankle,3992109,1779733966993,-9.53,-1.5,-1.12,1.3125,-2.1875,0.0,-0.57788086,0.4625244,-0.5910034,-0.32073975
1e,4,Right Wrist,29995065,1779733966994,6.110571,-1.9191438,-3.452843,-7.13496,3.1511116,1.693728,-145.57115,-57.024643,246.27641,0.0
1e,2,Right Ankle,1034142,1779733966997,-8.406637,2.8932576,2.9096723,-7.353362,-2.2937598,3.847619,47.121735,64.246605,251.09097,0.0
1e,1,Left Ankle,3992135,1779733967023,-9.43,-1.52,-1.12,1.3125,-2.375,-0.25,-0.57818604,0.46228027,-0.5908203,-0.32080078
1e,1,Left Ankle,3992154,1779733967032,-9.55,-1.54,-1.07,0.9375,-3.0625,-0.0625,-0.5786133,0.4619751,-0.59051514,-0.32092285
1e,3,Left Wrist,3792166,1779733967034,17.726233,-9.085251,-3.9744782,78.23577,-12.060301,82.28922,-110.26985,-49.36539,333.66385,0.0
1e,1,Left Ankle,3992171,1779733967052,-9.5,-1.51,-1.06,1.0,-2.75,-0.0625,-0.5789795,0.46173096,-0.590271,-0.32110596
