session_name,device_id,body_location,device_ts_ms,wall_clock_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
2b,1,Left Ankle,4349169,1779734324060,-9.47,-1.14,-2.1,0.0,-0.625,-0.125,-0.5492554,0.44335938,-0.6485596,-0.284729
2b,2,Right Ankle,1391211,1779734324063,-8.655491,1.5795981,3.07717,-6.513362,-2.15376,0.907619,27.314041,68.24472,244.40678,0.0
2b,3,Left Wrist,4149207,1779734324063,15.213768,-8.522937,-3.4791641,-5.6242237,-4.290301,46.93922,-92.63486,-56.026142,318.19455,0.0
2b,1,Left Ankle,4349179,1779734324064,-9.38,-1.15,-2.3,0.125,-0.625,-0.125,-0.5492554,0.44335938,-0.6485596,-0.284729
2b,4,Right Wrist,30352165,1779734324087,10.006086,-5.5634127,-1.4285151,-2.58496,5.3211117,2.463728,-118.31922,-57.611034,201.22261,0.0
2b,1,Left Ankle,4349203,1779734324087,-9.43,-1.1,-2.28,0.1875,-1.375,-0.0625,-0.5494385,0.44329834,-0.6484375,-0.28485107
2b,1,Left Ankle,4349228,1779734324120,-9.37,-1.13,-2.29,0.6875,-1.5,-0.125,-0.5496826,0.44317627,-0.6482544,-0.28497314
2b,3,Left Wrist,4149267,1779734324131,15.838294,-9.049358,-3.6801612,-6.5342236,-8.2103,49.179222,-92.73792,-56.02912,318.2793,0.0
2b,2,Right Ankle,1391272,1779734324131,-8.650705,1.5795981,3.1082768,-6.443362,-2.0137596,0.557619,27.225254,68.19903,244.32635,0.0
2b,1,Left Ankle,4349248,1779734324130,-9.51,-1.12,-2.22,0.875,-2.3125,-0.3125,-0.5499878,0.44299316,-0.6480713,-0.28503418
2b,1,Left Ankle,4349264,1779734324143,-9.38,-1.19,-2.1,1.0625,-2.4375,-0.375,-0.5501709,0.4428711,-0.64801025,-0.2850952
2b,4,Right Wrist,30352225,1779734324143,9.970194,-5.632805,-1.4668003,-4.8249598,4.0611115,2.0437279,-118.2281,-57.63084,201.14339,0.0
2b,1,Left Ankle,4349290,1779734324167,-9.5,-1.12,-2.06,0.75,-2.25,-0.25,-0.5506592,0.44256592,-0.6477661,-0.2852173
2b,1,Left Ankle,4349308,1779734324167,-9.42,-1.18,-2.09,0.625,-1.5,-0.125,-0.5508423,0.44244385,-0.64764404,-0.2852173
2b,2,Right Ankle,1391332,1779734324173,-8.660276,1.5652411,3.0939198,-6.8633623,-2.57376,0.06761885,27.045818,68.18949,244.16183,0.0
2b,3,Left Wrist,4149327,1779734324185,16.182861,-9.011074,-3.2135608,19.645777,-13.740301,66.39922,-92.83109,-56.033295,318.36432,0.0
2b,1,Left Ankle,4349329,1779734324201,-9.47,-1.14,-2.03,0.625,-1.9375,-0.125,-0.5510864,0.44232178,-0.647522,-0.28527832
2b,4,Right Wrist,30352285,1779734324210,9.711769,-5.706982,-1.4620147,-2.5149598,4.4811115,1.7637279,-118.13124,-57.644276,201.05994,0.0
2b,1,Left Ankle,4349352,1779734324227,-9.41,-1.15,-2.06,0.125,-1.25,-0.125,-0.55126953,0.44226074,-0.6473999,-0.2854004
2b,2,Right Ankle,1391392,1779734324234,-8.605242,1.5221703,3.0963125,-6.303362,-3.4837599,0.417619,26.864967,68.18085,243.99582,0.0
2b,3,Left Wrist,4149387,1779734324238,17.642483,-9.757634,-6.183054,104.41577,-27.320301,94.049225,-92.908035,-56.015186,318.46274,0.0
2b,1,Left Ankle,4349379,1779734324268,-9.43,-1.17,-2.09,0.125,-0.8125,-0.1875,-0.5513916,0.4421997,-0.64727783,-0.28546143
2b,4,Right Wrist,30352344,1779734324269,9.960623,-5.410272,-1.7252252,-4.47496,4.6911116,1.413728,-118.04534,-57.671597,200.98514,0.0
2b,1,Left Ankle,4349397,1779734324269,-9.45,-1.17,-2.2,0.5,-1.4375,-0.1875,-0.55163574,0.44207764,-0.6470947,-0.2855835
2b,1,Left Ankle,4349412,1779734324296,-9.41,-1.19,-2.1,0.6875,-1.9375,-0.125,-0.5517578,0.44195557,-0.6470337,-0.28564453
2b,3,Left Wrist,4149447,1779734324304,13.945573,-16.199112,-3.2542388,200.52577,-70.5803,168.31923,-92.92063,-55.88808,318.5433,0.0
2b,2,Right Ankle,1391452,1779734324304,-8.655491,1.4671353,3.1537402,-6.6533623,-3.1337595,0.06761885,26.682201,68.17381,243.82812,0.0
2b,1,Left Ankle,4349440,1779734324322,-9.38,-1.2,-1.93,0.625,-1.8125,-0.125,-0.55200195,0.4418335,-0.6469116,-0.28570557
2b,1,Left Ankle,4349458,1779734324322,-9.5,-1.21,-1.83,-0.25,-0.6875,0.0,-0.55255127,0.44158936,-0.6464844,-0.2859497
2b,1,Left Ankle,4349482,1779734324345,-9.52,-1.13,-1.9,-0.5625,0.125,0.0,-0.5527344,0.44152832,-0.64630127,-0.28607178
2b,4,Right Wrist,30352405,1779734324355,9.61127,-5.5681987,-1.3734802,1.68504,3.6411119,-1.526272,-117.94991,-57.68829,200.90454,0.0
2b,2,Right Ankle,1391512,1779734324355,-8.650705,1.4432073,3.2039895,-7.0733624,-2.15376,0.34761906,26.516617,68.15558,243.67665,0.0
2b,3,Left Wrist,4149507,1779734324363,10.459229,-12.078671,-1.4237295,133.46577,-35.5803,213.32922,-92.912125,-55.739136,318.57965,0.0
2b,1,Left Ankle,4349519,1779734324378,-9.47,-1.18,-2.21,-0.0625,0.375,-0.125,-0.55255127,0.4416504,-0.6463623,-0.28607178
2b,1,Left Ankle,4349502,1779734324378,-9.42,-1.13,-2.11,-0.8125,0.875,-0.3125,-0.5526123,0.4416504,-0.64630127,-0.2861328
2b,1,Left Ankle,4349543,1779734324410,-9.4,-1.19,-2.06,-0.3125,-0.125,0.0,-0.5526123,0.4416504,-0.64630127,-0.2861328
2b,4,Right Wrist,30352464,1779734324412,9.850553,-5.2212396,-1.8281165,16.24504,5.8811116,-2.2262719,-117.86265,-57.72264,200.8348,0.0
2b,3,Left Wrist,4149567,1779734324426,8.190833,-10.071094,-0.3062813,173.01578,-19.2003,225.29922,-92.84847,-55.585712,318.57855,0.0
2b,1,Left Ankle,4349560,1779734324439,-9.53,-1.14,-1.96,-0.25,0.125,0.125,-0.55267334,0.44158936,-0.64624023,-0.2861328
2b,1,Left Ankle,4349582,1779734324439,-9.34,-1.19,-2.05,-0.8125,1.5625,0.0,-0.55255127,0.44171143,-0.64630127,-0.2861328
2b,1,Left Ankle,4349598,1779734324465,-9.51,-1.15,-2.07,-0.875,0.625,0.0,-0.55249023,0.44177246,-0.64630127,-0.28619385
2b,4,Right Wrist,30352555,1779734324471,10.106585,-5.462914,-1.7012969,4.6950397,-0.3488884,-3.276272,-117.777596,-57.75112,200.7646,0.0
2b,3,Left Wrist,4149626,1779734324477,7.791232,-8.678472,0.634098,134.86577,-3.9403007,212.27922,-92.75388,-55.44749,318.53812,0.0
2b,1,Left Ankle,4349640,1779734324497,-9.4,-1.23,-2.12,-1.3125,-0.5,0.0625,-0.5524292,0.4420166,-0.6460571,-0.28656006
2b,1,Left Ankle,4349618,1779734324497,-9.35,-1.21,-2.04,-1.4375,-0.5625,0.0,-0.5524292,0.44189453,-0.6461792,-0.28637695
2b,1,Left Ankle,4349661,1779734324529,-9.34,-1.22,-2.07,-1.0625,-0.875,0.3125,-0.5524292,0.4420166,-0.64593506,-0.2866211
2b,2,Right Ankle,1391572,1779734324533,-8.724882,1.4432073,3.1585257,-7.563362,-1.1037599,0.767619,26.321962,68.169975,243.49843,0.0
2b,3,Left Wrist,4149687,1779734324537,6.226326,-8.467902,2.1750758,101.26577,-7.580301,185.67923,-92.654175,-55.33552,318.4849,0.0
2b,1,Left Ankle,4349679,1779734324555,-9.45,-1.18,-2.14,-1.1875,-1.75,1.1875,-0.55255127,0.44189453,-0.6456909,-0.28710938
2b,1,Left Ankle,4349699,1779734324556,-9.67,-1.11,-2.17,-1.0625,-2.375,0.875,-0.55267334,0.44177246,-0.64556885,-0.2874756
2b,4,Right Wrist,30352615,1779734324567,11.286247,-5.0992055,-1.8951156,12.045039,5.951112,4.213728,-117.72189,-57.803562,200.71968,0.0
2b,1,Left Ankle,4349724,1779734324588,-9.38,-1.06,-2.4,0.1875,-2.625,0.3125,-0.5529175,0.44171143,-0.6452637,-0.28771973
2b,2,Right Ankle,1391736,1779734324596,-8.662669,1.459957,2.926422,-7.983362,-15.733759,1.7476189,26.144371,68.25097,243.33784,0.0
2b,3,Left Wrist,4149747,1779734324597,4.2666044,-9.470495,3.3643088,62.415775,13.839699,157.25922,-92.56357,-55.235214,318.42416,0.0
2b,1,Left Ankle,4349762,1779734324621,-9.43,-1.15,-2.13,1.5,-5.0625,0.375,-0.5539551,0.44110107,-0.64471436,-0.2880249
2b,1,Left Ankle,4349739,1779734324621,-9.32,-1.17,-2.28,1.3125,-3.4375,-0.0625,-0.5533447,0.4414673,-0.64508057,-0.2878418
2b,4,Right Wrist,30352705,1779734324621,13.312968,-5.6782684,-0.8829515,-11.61496,5.8811116,17.303728,-117.65784,-57.842434,200.65958,0.0
2b,1,Left Ankle,4349784,1779734324645,-9.62,-1.16,-1.86,2.0,-5.1875,0.4375,-0.55462646,0.4406128,-0.64434814,-0.288208
2b,3,Left Wrist,4149807,1779734324657,4.3312106,-9.633207,4.0606203,33.225777,19.4397,137.30922,-92.47763,-55.14616,318.35803,0.0
2b,1,Left Ankle,4349804,1779734324675,-9.37,-1.19,-1.87,1.8125,-4.875,0.25,-0.5553589,0.44018555,-0.6439209,-0.2883911
2b,4,Right Wrist,30352765,1779734324678,11.901202,-7.0565343,-1.5792629,-30.444962,-0.7688885,17.233728,-117.56813,-57.848484,200.57326,0.0
2b,1,Left Ankle,4349824,1779734324709,-9.49,-1.19,-1.93,1.25,-4.3125,0.6875,-0.5559082,0.43981934,-0.6436157,-0.28857422
2b,1,Left Ankle,4349847,1779734324709,-9.37,-1.2,-1.91,0.5625,-4.625,1.0,-0.5567627,0.43920898,-0.6430054,-0.2892456
2b,2,Right Ankle,1391812,1779734324713,-8.633955,1.4575641,3.440879,-4.273362,-26.86376,1.2576189,26.042236,68.19882,243.24298,0.0
2b,3,Left Wrist,4149867,1779734324718,5.065807,-9.377175,4.2759743,-14.794224,13.9797,102.23923,-92.40751,-55.07314,318.2926,0.0
2b,1,Left Ankle,4349864,1779734324739,-9.58,-1.11,-1.93,0.3125,-5.5625,0.75,-0.5570679,0.43902588,-0.64276123,-0.28948975
2b,4,Right Wrist,30352825,1779734324740,9.529914,-8.619047,-1.2131611,-37.37496,-7.908888,48.24373,-117.47499,-57.798775,200.48055,0.0
2b,1,Left Ankle,4349888,1779734324765,-9.44,-1.12,-2.01,0.6875,-4.1875,0.9375,-0.5578613,0.43847656,-0.6421509,-0.2901001
2b,1,Left Ankle,4349908,1779734324771,-9.51,-1.13,-2.05,1.4375,-5.25,0.9375,-0.5584717,0.43804932,-0.6418457,-0.29040527
2b,3,Left Wrist,4149927,1779734324779,4.594421,-11.025829,4.082155,11.805777,0.18969917,77.17922,-92.34436,-55.00087,318.24356,0.0
