session_name,device_id,body_location,device_ts_ms,wall_clock_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
3a,1,Left Ankle,4686370,1779734661265,-9.33,-1.85,-2.24,-0.4375,1.3125,0.125,-0.48651123,0.59521484,-0.5140381,-0.38049316
3a,1,Left Ankle,4686400,1779734661293,-9.33,-1.8,-2.32,-0.3125,1.875,-0.1875,-0.48638916,0.5953369,-0.5142212,-0.38031006
3a,1,Left Ankle,4686419,1779734661293,-9.2,-1.86,-2.32,-0.375,1.3125,-0.3125,-0.4862671,0.595459,-0.51434326,-0.38012695
3a,2,Right Ankle,1728452,1779734661294,-8.595671,1.7447029,3.1896327,-5.813362,-0.5437598,2.587619,28.667591,67.0563,254.12471,0.0
3a,3,Left Wrist,4486447,1779734661294,16.206789,-8.006087,-3.0699914,-24.664223,-9.890301,58.06922,-95.432884,-48.786186,326.37964,0.0
3a,4,Right Wrist,30689374,1779734661293,6.110571,-1.6415765,-2.0386848,-1.04496,4.9011116,1.7637279,-140.32076,-66.938934,209.48679,0.0
3a,1,Left Ankle,4686437,1779734661320,-9.11,-1.9,-2.34,-0.1875,1.125,-0.1875,-0.48614502,0.59552,-0.5144043,-0.38000488
3a,1,Left Ankle,4686460,1779734661344,-9.45,-1.79,-2.41,0.0625,-0.625,0.25,-0.48620605,0.595459,-0.51434326,-0.38006592
3a,1,Left Ankle,4686476,1779734661352,-9.35,-1.84,-2.32,1.0,-2.25,-0.1875,-0.48632812,0.5953369,-0.5142822,-0.38012695
3a,4,Right Wrist,30689434,1779734661356,6.151249,-1.6966116,-2.1296122,-1.32496,3.081112,0.643728,-140.38899,-66.89122,209.5488,0.0
3a,3,Left Wrist,4486506,1779734661362,17.041885,-8.554045,-2.9359932,-8.354223,-17.590302,72.13922,-95.486946,-48.827858,326.4206,0.0
3a,2,Right Ankle,1728511,1779734661364,-8.574135,1.8117018,3.208775,-5.743362,-0.6837598,2.027619,28.799309,67.0034,254.24802,0.0
3a,1,Left Ankle,4686502,1779734661371,-9.27,-1.84,-2.2,1.8125,-4.375,-0.1875,-0.48712158,0.59472656,-0.513916,-0.3805542
3a,1,Left Ankle,4686520,1779734661403,-9.32,-1.85,-2.13,1.3125,-2.8125,0.125,-0.48760986,0.5944214,-0.5137329,-0.3807373
3a,1,Left Ankle,4686541,1779734661407,-9.38,-1.87,-2.11,1.0625,-2.3125,0.0,-0.48797607,0.59417725,-0.51361084,-0.3809204
3a,4,Right Wrist,30689494,1779734661407,6.0483575,-1.7444676,-2.036292,-4.8249598,3.4311118,2.3937278,-140.30673,-66.82749,209.47104,0.0
3a,2,Right Ankle,1728572,1779734661408,-8.600456,1.7351315,3.1513476,-5.393362,-1.3137599,1.607619,28.805422,67.060905,254.25551,0.0
3a,3,Left Wrist,4486567,1779734661425,16.53939,-7.6878424,-2.1463618,-14.164224,-10.1703005,78.78922,-95.524055,-48.872833,326.4454,0.0
3a,1,Left Ankle,4686562,1779734661427,-9.34,-1.84,-2.11,1.1875,-2.6875,0.0625,-0.4883423,0.5938721,-0.51342773,-0.38110352
3a,1,Left Ankle,4686579,1779734661456,-9.38,-1.85,-2.06,0.75,-1.0625,-0.1875,-0.48864746,0.5936279,-0.51330566,-0.3812256
3a,1,Left Ankle,4686602,1779734661459,-9.36,-1.84,-2.1,0.5625,-1.375,-0.0625,-0.48883057,0.59350586,-0.5131836,-0.38134766
3a,4,Right Wrist,30689554,1779734661464,5.962216,-1.8162527,-2.0793629,-4.47496,6.8611116,3.863728,-140.24213,-66.76311,209.40923,0.0
3a,2,Right Ankle,1728631,1779734661479,-8.595671,1.7662383,3.1800613,-4.833362,-1.5937599,1.887619,28.978714,67.060555,254.41678,0.0
3a,3,Left Wrist,4486626,1779734661480,15.345374,-7.123136,-1.7850457,-13.884224,6.559699,68.009224,-95.55012,-48.92304,326.45837,0.0
3a,1,Left Ankle,4686623,1779734661506,-9.32,-1.86,-2.08,0.375,-0.875,0.125,-0.48895264,0.5933838,-0.5130615,-0.38153076
3a,1,Left Ankle,4686660,1779734661521,-9.36,-1.86,-2.1,0.0,0.1875,0.25,-0.4890747,0.59332275,-0.5130005,-0.38153076
3a,1,Left Ankle,4686640,1779734661520,-9.32,-1.86,-2.09,0.25,0.0625,0.0625,-0.48901367,0.5933838,-0.5130615,-0.38153076
3a,4,Right Wrist,30689614,1779734661522,5.9741797,-1.5219355,-2.132005,-4.89496,6.8611116,3.3037279,-140.38701,-66.75092,209.53981,0.0
3a,2,Right Ankle,1728692,1779734661523,-8.602849,1.7279531,3.2063823,-5.253362,-1.6637598,2.657619,28.805115,67.05757,254.25877,0.0
3a,3,Left Wrist,4486687,1779734661528,15.043878,-7.027424,-2.1104696,14.395777,25.5297,50.649223,-95.56781,-48.97812,326.46857,0.0
3a,1,Left Ankle,4686687,1779734661545,-9.39,-1.88,-2.13,-0.3125,0.8125,0.0,-0.48901367,0.59332275,-0.5130615,-0.38153076
3a,1,Left Ankle,4686704,1779734661585,-9.36,-1.85,-2.07,-0.3125,0.5,-0.0625,-0.4890747,0.59332275,-0.5130615,-0.38153076
3a,1,Left Ankle,4686720,1779734661585,-9.31,-1.88,-2.07,-0.0625,1.25,-0.125,-0.48901367,0.5933838,-0.51312256,-0.38146973
3a,4,Right Wrist,30689674,1779734661585,5.9909296,-1.5267209,-1.940579,-3.91496,7.001112,0.36372805,-140.48372,-66.81439,209.62677,0.0
3a,2,Right Ankle,1728751,1779734661586,-8.624384,1.7638454,3.2422745,-5.813362,-0.47375977,2.587619,28.747082,67.00648,254.20749,0.0
3a,3,Left Wrist,4486747,1779734661601,14.584455,-7.7021995,-1.9908284,-7.724223,32.039696,30.419222,-95.59323,-49.0397,326.47775,0.0
3a,1,Left Ankle,4686740,1779734661606,-9.34,-1.87,-2.09,-0.4375,1.375,0.0625,-0.48895264,0.5933838,-0.51312256,-0.38134766
3a,1,Left Ankle,4686760,1779734661639,-9.35,-1.88,-2.16,-0.6875,0.875,0.0625,-0.4888916,0.59350586,-0.5131836,-0.38134766
3a,1,Left Ankle,4686782,1779734661640,-9.23,-1.89,-2.2,-0.75,1.5625,-0.125,-0.4887085,0.5936279,-0.5132446,-0.3812256
3a,4,Right Wrist,30689734,1779734661640,5.926324,-1.658326,-2.0003998,-1.11496,9.591112,-0.82627225,-140.4609,-66.75352,209.60469,0.0
3a,2,Right Ankle,1728812,1779734661643,-8.571742,1.768631,3.1369905,-5.6733623,0.08624017,2.727619,28.861132,67.04142,254.31468,0.0
3a,3,Left Wrist,4486806,1779734661647,14.455243,-7.218849,-1.1270194,-6.8142233,49.539696,20.129221,-95.58701,-49.109226,326.4595,0.0
