session_name,device_id,body_location,device_ts_ms,wall_clock_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
3f,1,Left Ankle,5214304,1779735189195,-9.63,-0.65,-1.89,0.5625,-0.625,0.5,-0.5501709,0.43139648,-0.6407471,-0.31726074
3f,3,Left Wrist,5014342,1779735189197,17.26681,-8.032409,-2.6703901,-2.8242235,-13.390301,62.47922,-101.61333,-58.942047,350.98685,0.0
3f,1,Left Ankle,5214318,1779735189214,-9.65,-0.7,-1.8,0.5625,-1.25,0.0625,-0.55029297,0.43133545,-0.640625,-0.3173828
3f,1,Left Ankle,5214347,1779735189257,-9.65,-0.66,-1.81,0.625,-1.6875,-0.125,-0.5505371,0.43121338,-0.6404419,-0.31744385
3f,1,Left Ankle,5214362,1779735189257,-9.68,-0.68,-1.77,0.4375,-1.5,-0.3125,-0.5507202,0.4310913,-0.6403198,-0.31756592
3f,4,Right Wrist,31217298,1779735189257,5.959823,-1.6272196,-1.8305094,-7.34496,3.6411119,2.463728,-142.81593,-60.292797,192.85808,0.0
3f,2,Right Ankle,2256288,1779735189257,-8.253496,-0.71511877,4.584648,-6.513362,-1.6637598,2.937619,-12.013885,65.42767,221.48904,0.0
3f,3,Left Wrist,5014402,1779735189257,16.754745,-7.357633,-2.8091736,-4.9942236,-12.6903,69.05922,-101.68971,-58.978302,351.05054,0.0
3f,1,Left Ankle,5214378,1779735189263,-9.59,-0.74,-1.72,0.1875,-1.5625,-0.4375,-0.55096436,0.43103027,-0.6401367,-0.317688
3f,1,Left Ankle,5214398,1779735189263,-9.66,-0.69,-1.73,0.0,-1.375,-0.0625,-0.55114746,0.4309082,-0.6399536,-0.31781006
3f,1,Left Ankle,5214422,1779735189293,-9.68,-0.71,-1.69,0.3125,-1.25,0.0,-0.5513916,0.43078613,-0.6397705,-0.31799316
3f,4,Right Wrist,31217358,1779735189294,5.84736,-1.4716859,-1.8807585,-5.94496,5.601112,4.843728,-142.80841,-60.3521,192.84848,0.0
3f,2,Right Ankle,2256451,1779735189294,-8.2295685,-0.8084389,4.6492543,-5.253362,-1.9437598,1.7476189,-11.950212,65.31999,221.55127,0.0
3f,3,Left Wrist,5014462,1779735189303,15.577477,-8.0348015,-1.8113667,-5.8342233,2.5696993,67.519226,-101.70413,-59.030087,351.05823,0.0
3f,1,Left Ankle,5214438,1779735189308,-9.64,-0.69,-1.7,0.125,-0.5,0.25,-0.5515137,0.43078613,-0.63964844,-0.3180542
3f,1,Left Ankle,5214468,1779735189341,-9.65,-0.71,-1.68,0.0,0.125,0.125,-0.5515747,0.4307251,-0.6395874,-0.3180542
3f,1,Left Ankle,5214482,1779735189341,-9.66,-0.68,-1.75,-0.25,0.1875,0.3125,-0.55163574,0.4307251,-0.63952637,-0.3180542
3f,3,Left Wrist,5014522,1779735189350,15.474586,-7.6543436,-2.888137,-0.5142236,16.989698,64.22922,-101.785034,-59.050163,351.12213,0.0
3f,1,Left Ankle,5214502,1779735189372,-9.7,-0.63,-1.8,-0.25,0.6875,0.375,-0.55163574,0.4307251,-0.6395874,-0.3180542
3f,4,Right Wrist,31217449,1779735189373,5.785147,-1.5051854,-1.8137596,-4.33496,5.3211117,1.833728,-142.79248,-60.410263,192.83252,0.0
3f,2,Right Ankle,2256527,1779735189382,-8.210426,-0.7725465,4.615755,-4.973362,-0.89375985,2.657619,-11.918625,65.26631,221.58195,0.0
3f,1,Left Ankle,5214523,1779735189397,-9.66,-0.71,-1.74,-0.125,1.0,0.25,-0.5515137,0.43078613,-0.63964844,-0.31799316
3f,1,Left Ankle,5214544,1779735189403,-9.71,-0.69,-1.78,0.0,0.4375,0.375,-0.5515137,0.43078613,-0.63964844,-0.31799316
3f,3,Left Wrist,5014583,1779735189418,16.785852,-9.776776,-3.9505503,113.30577,-11.500301,87.049225,-101.84759,-59.01179,351.2085,0.0
3f,1,Left Ankle,5214559,1779735189435,-9.6,-0.68,-1.81,0.0625,-0.625,0.125,-0.5515137,0.43078613,-0.63964844,-0.31799316
3f,4,Right Wrist,31217539,1779735189436,5.926324,-1.5745775,-1.8640088,-3.77496,5.601112,0.71372795,-142.77336,-60.468143,192.81406,0.0
3f,2,Right Ankle,2256618,1779735189437,-8.224783,-0.7677609,4.6396832,-5.463362,-0.6837598,2.7976189,-11.886377,65.212776,221.6134,0.0
3f,1,Left Ankle,5214586,1779735189459,-9.73,-0.66,-1.73,0.4375,-0.1875,0.125,-0.5515747,0.4307251,-0.6395874,-0.31799316
3f,1,Left Ankle,5214604,1779735189460,-9.7,-0.67,-1.78,0.375,-0.75,0.1875,-0.55163574,0.4307251,-0.6395874,-0.3180542
3f,3,Left Wrist,5014642,1779735189474,15.342979,-15.167806,-4.328616,169.37578,-56.1603,159.70923,-101.82952,-58.88078,351.24768,0.0
3f,1,Left Ankle,5214619,1779735189486,-9.62,-0.7,-1.68,0.25,-1.625,-0.25,-0.55181885,0.43060303,-0.6394043,-0.31817627
3f,2,Right Ankle,2256677,1779735189493,-8.215212,-0.7414399,4.57747,-5.183362,-0.5437598,2.447619,-11.850183,65.1596,221.64822,0.0
3f,1,Left Ankle,5214639,1779735189525,-9.59,-0.7,-1.71,0.0,-0.1875,-0.125,-0.5519409,0.430542,-0.6392822,-0.3182373
3f,1,Left Ankle,5214664,1779735189525,-9.73,-0.65,-1.65,0.0,0.6875,0.25,-0.55200195,0.430542,-0.6392822,-0.3182373
3f,4,Right Wrist,31217598,1779735189525,5.7253265,-1.622434,-1.7252252,-1.8849599,6.9311113,2.8137279,-142.73572,-60.52206,192.77962,0.0
3f,3,Left Wrist,5014702,1779735189533,12.718053,-16.759033,-1.7587247,113.72577,-76.4603,246.29922,-101.77356,-58.719593,351.2382,0.0
3f,1,Left Ankle,5214679,1779735189546,-9.67,-0.69,-1.67,0.0625,0.4375,-0.1875,-0.55200195,0.430542,-0.6392212,-0.31829834
3f,2,Right Ankle,2256737,1779735189557,-8.251104,-0.7270829,4.615755,-4.973362,-0.123759866,2.097619,-11.8117695,65.10686,221.68497,0.0
3f,1,Left Ankle,5214706,1779735189577,-9.6,-0.7,-1.72,-0.1875,0.0625,-0.3125,-0.55200195,0.430542,-0.6392212,-0.31829834
3f,1,Left Ankle,5214719,1779735189577,-9.68,-0.65,-1.75,-0.5,0.8125,0.125,-0.55200195,0.430542,-0.6392822,-0.3182373
3f,3,Left Wrist,5014762,1779735189589,10.77269,-13.1219425,-1.0911272,59.825775,-67.6403,306.7092,-101.71627,-58.540287,351.2078,0.0
3f,1,Left Ankle,5214743,1779735189606,-9.72,-0.65,-1.8,-0.5625,1.1875,0.375,-0.55181885,0.43066406,-0.63934326,-0.31817627
3f,4,Right Wrist,31217659,1779735189609,5.7612185,-1.4094728,-1.8113667,3.22504,9.311111,5.193728,-142.72495,-60.582466,192.76955,0.0
3f,2,Right Ankle,2256797,1779735189613,-8.279818,-0.8227958,4.615755,-4.553362,0.9262402,3.077619,-11.787758,65.05301,221.70862,0.0
3f,1,Left Ankle,5214759,1779735189636,-9.6,-0.67,-1.8,-0.0625,0.625,0.0625,-0.5517578,0.43066406,-0.6394043,-0.31811523
3f,1,Left Ankle,5214779,1779735189636,-9.64,-0.71,-1.84,-0.125,0.5625,0.0,-0.5516968,0.4307251,-0.63946533,-0.31811523
3f,3,Left Wrist,5014822,1779735189654,8.805789,-5.7592278,0.945165,82.22577,-42.5803,319.0292,-101.57658,-58.426872,351.10898,0.0
3f,1,Left Ankle,5214802,1779735189666,-9.73,-0.62,-1.86,-0.0625,0.5625,0.3125,-0.5516968,0.4307251,-0.63952637,-0.31811523
3f,4,Right Wrist,31217749,1779735189669,5.6439705,-1.4166514,-2.0291135,3.3650398,10.011111,2.113728,-142.7399,-60.647205,192.78227,0.0
3f,2,Right Ankle,2256857,1779735189675,-8.284603,-0.82997423,4.644469,-5.463362,1.4862401,5.317619,-11.763519,64.99944,221.73306,0.0
3f,1,Left Ankle,5214826,1779735189705,-9.62,-0.77,-1.71,-0.1875,0.125,-0.4375,-0.55163574,0.4307251,-0.63952637,-0.3180542
3f,3,Left Wrist,5014882,1779735189708,6.724033,-3.2443707,2.971886,184.49577,11.8097,248.67923,-101.3931,-58.358913,350.99637,0.0
3f,1,Left Ankle,5214848,1779735189733,-9.67,-0.67,-1.62,0.0,0.0625,0.125,-0.55163574,0.4307251,-0.63952637,-0.3180542
3f,4,Right Wrist,31217838,1779735189734,5.768397,-1.4166514,-2.1750758,1.2650399,12.671112,-5.7262716,-142.78046,-60.71526,192.81749,0.0
3f,2,Right Ankle,2256917,1779735189734,-8.279818,-0.71511877,4.5152564,-5.953362,2.6762402,6.577619,-11.718455,64.94834,221.77666,0.0
3f,1,Left Ankle,5214871,1779735189734,-9.75,-0.64,-1.56,-0.3125,0.375,0.5,-0.5516968,0.43066406,-0.63946533,-0.31811523
3f,1,Left Ankle,5214888,1779735189763,-9.64,-0.65,-1.8,-0.375,0.8125,-0.0625,-0.5516968,0.4307251,-0.63952637,-0.31811523
3f,3,Left Wrist,5014942,1779735189767,6.487144,-8.391332,2.5483563,67.80577,28.7497,152.35922,-101.25396,-58.27556,350.88742,0.0
3f,1,Left Ankle,5214912,1779735189787,-9.59,-0.66,-1.85,-0.4375,1.25,-0.0625,-0.5515747,0.43078613,-0.6395874,-0.31799316
3f,1,Left Ankle,5214928,1779735189788,-9.67,-0.67,-1.9,-0.125,0.0,-0.0625,-0.5515137,0.43078613,-0.63964844,-0.31799316
3f,4,Right Wrist,31217898,1779735189789,5.8162537,-1.5458634,-2.0554345,-2.5149598,13.581112,-7.616272,-142.78253,-60.78123,192.81816,0.0
3f,2,Right Ankle,2256977,1779735189795,-8.277425,-0.64094126,4.5152564,-5.813362,3.2362404,6.507619,-11.660298,64.89919,221.83199,0.0
3f,1,Left Ankle,5214948,1779735189816,-9.55,-0.7,-1.9,0.3125,-0.5625,-0.125,-0.5515137,0.43078613,-0.63964844,-0.31799316
3f,1,Left Ankle,5214968,1779735189817,-9.68,-0.66,-1.73,0.1875,-1.0625,0.25,-0.55163574,0.4307251,-0.63952637,-0.3180542
3f,3,Left Wrist,5015002,1779735189829,4.6422777,-7.228421,2.6273193,27.765776,16.5697,90.689224,-101.14576,-58.21252,350.79745,0.0
3f,4,Right Wrist,31217958,1779735189850,5.88086,-1.620041,-1.9190437,-4.40496,12.391111,-4.6762714,-142.75989,-60.84172,192.7964,0.0
3f,2,Right Ankle,2257038,1779735189853,-8.356388,-0.5859063,4.438686,-6.093362,2.3962402,4.827619,-11.586323,64.85253,221.90155,0.0
3f,1,Left Ankle,5214996,1779735189877,-9.74,-0.65,-1.63,0.0,-1.3125,0.3125,-0.55181885,0.43066406,-0.6394043,-0.31817627
3f,1,Left Ankle,5215017,1779735189879,-9.61,-0.71,-1.65,-0.375,-0.625,-0.0625,-0.552063,0.430542,-0.6392212,-0.31829834
3f,3,Left Wrist,5015062,1779735189889,3.7138622,-10.652549,2.9216366,4.1757765,2.7096996,67.37922,-101.07119,-58.14517,350.73245,0.0
3f,1,Left Ankle,5215039,1779735189908,-9.7,-0.67,-1.8,-0.375,1.0,0.4375,-0.5519409,0.430542,-0.6392822,-0.3182373
3f,4,Right Wrist,31218018,1779735189909,5.8162537,-1.6152556,-1.9118654,-1.04496,7.911112,-1.4562719,-142.73518,-60.900154,192.7739,0.0
3f,1,Left Ankle,5215057,1779735189909,-9.65,-0.64,-1.96,0.0,0.75,0.1875,-0.5518799,0.43060303,-0.63934326,-0.31817627
3f,2,Right Ankle,2257097,1779735189913,-8.308532,-0.54283553,4.3932223,-6.093362,0.71624017,2.167619,-11.5051775,64.80684,221.9772,0.0
3f,1,Left Ankle,5215079,1779735189937,-9.58,-0.71,-1.87,0.4375,-1.5,0.4375,-0.5519409,0.43060303,-0.6392822,-0.3182373
3f,3,Left Wrist,5015123,1779735189948,3.2017982,-10.475481,2.8378878,-20.954224,1.4496994,68.28922,-101.0081,-58.076717,350.66998,0.0
3f,1,Left Ankle,5215099,1779735189976,-9.66,-0.65,-1.7,0.125,-1.875,0.4375,-0.552124,0.43048096,-0.6390991,-0.31835938
3f,4,Right Wrist,31218079,1779735189976,5.7109694,-1.4740789,-2.2612174,0.14504004,4.971112,0.923728,-142.79279,-60.96444,192.82364,0.0
3f,1,Left Ankle,5215119,1779735189996,-9.75,-0.67,-1.57,-0.0625,-2.375,0.625,-0.55236816,0.43023682,-0.638916,-0.31866455
3f,1,Left Ankle,5215145,1779735190000,-9.7,-0.7,-1.66,-0.25,-2.0,0.4375,-0.55267334,0.4300537,-0.6386719,-0.31884766
3f,2,Right Ankle,2257158,1779735190003,-8.363566,-0.6074418,4.409972,-7.143362,-0.8237598,0.417619,-11.437047,64.75815,222.0412,0.0
3f,3,Left Wrist,5015182,1779735190009,4.948559,-9.611672,-3.2997024,-44.264225,-13.250301,10.469223,-101.06251,-57.998783,350.70505,0.0
3f,1,Left Ankle,5215159,1779735190029,-9.7,-0.59,-1.9,0.5,-1.3125,0.4375,-0.55285645,0.42999268,-0.63848877,-0.31896973
3f,4,Right Wrist,31218138,1779735190029,5.701398,-1.1845477,-2.4478576,-5.8049603,1.4011116,-1.7362721,-142.91615,-61.012802,192.92984,0.0
3f,1,Left Ankle,5215179,1779735190056,-9.67,-0.62,-1.97,0.9375,-2.3125,-0.5625,-0.5531616,0.42980957,-0.6383667,-0.31903076
