session_name,device_id,body_location,device_ts_ms,wall_clock_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
full round,2,Right Ankle,2722962,1779739405011,-1.4521033,-2.6775901,2.065006,-0.7228205,-0.5906577,1.4331799,-52.741173,23.210337,169.99846,0.0
full round,3,Left Wrist,9230296,1779739405011,-0.5477549,3.9005973,-3.9960139,18.315777,-8.6303005,47.91922,120.025,-35.873764,324.7173,0.0
full round,1,Left Ankle,2994581,1779739405035,-0.82,9.58,-0.26,-1.375,1.5625,1.9375,-0.6678467,-0.65374756,-0.27844238,-0.22149658
full round,1,Left Ankle,2994608,1779739405061,-0.89,9.41,-0.23,-2.3125,1.125,2.125,-0.6679077,-0.6536255,-0.2783203,-0.22192383
full round,1,Left Ankle,2994624,1779739405062,-0.82,9.55,-0.23,-3.1875,1.8125,2.8125,-0.6680298,-0.65338135,-0.2781372,-0.22247314
full round,4,Right Wrist,35433278,1779739405064,9.455736,-4.474678,0.20338993,-2.93496,7.001112,-0.6162722,-104.80985,-60.639774,83.283615,0.0
full round,2,Right Ankle,2723022,1779739405080,-1.4856033,-2.5938413,2.0315065,-0.58282053,-1.2206576,0.2431798,-52.695778,23.27023,170.01682,0.0
full round,3,Left Wrist,9230356,1779739405082,-0.82532215,2.3979049,-3.6107695,-1.0742236,-9.890301,50.649223,120.084236,-35.824047,324.6728,0.0
full round,1,Left Ankle,2994661,1779739405087,-0.79,9.85,-0.08,-4.0,2.0625,4.3125,-0.66833496,-0.652771,-0.27752686,-0.2241211
full round,1,Left Ankle,2994646,1779739405087,-0.78,9.72,-0.16,-3.75,2.0625,3.6875,-0.66815186,-0.6530762,-0.27789307,-0.2232666
full round,1,Left Ankle,2994681,1779739405112,-0.65,9.77,-0.13,-3.6875,2.5,4.625,-0.66845703,-0.6524658,-0.27716064,-0.22509766
full round,4,Right Wrist,35433338,1779739405119,9.601699,-4.4914284,0.11485548,-4.61496,6.791112,1.7637279,-104.71946,-60.672108,83.20219,0.0
full round,2,Right Ankle,2723082,1779739405120,-1.5214953,-2.7302322,2.0434706,0.04717946,-2.2006578,-1.5768201,-52.730988,23.325382,170.00314,0.0
full round,3,Left Wrist,9230416,1779739405124,-1.1794599,3.7857423,-3.0699914,10.265777,-9.050301,65.769226,120.11609,-35.769608,324.64468,0.0
full round,1,Left Ankle,2994702,1779739405154,-0.76,9.69,-0.15,-3.6875,2.625,4.9375,-0.66851807,-0.65216064,-0.27679443,-0.22607422
full round,1,Left Ankle,2994727,1779739405173,-0.8,9.59,-0.06,-3.375,2.0,5.125,-0.66864014,-0.65197754,-0.27630615,-0.22705078
full round,1,Left Ankle,2994744,1779739405176,-0.7,9.74,-0.14,-3.125,2.25,5.9375,-0.66864014,-0.65179443,-0.2758789,-0.22808838
full round,4,Right Wrist,35433398,1779739405176,9.673484,-4.6158547,0.20578274,-7.62496,3.851112,0.9937279,-104.62878,-60.70097,83.12013,0.0
full round,2,Right Ankle,2723142,1779739405179,-1.3492122,-2.6943398,2.132005,-0.7228205,-2.4806576,-2.2768202,-52.697693,23.266954,170.0166,0.0
full round,3,Left Wrist,9230476,1779739405187,-0.9808558,3.1827507,-2.7828526,-4.2242236,-26.6203,65.20922,120.15106,-35.712204,324.6076,0.0
full round,1,Left Ankle,2994763,1779739405204,-0.55,9.77,-0.13,-2.375,3.25,6.6875,-0.66845703,-0.6517334,-0.27539062,-0.22930908
full round,1,Left Ankle,2994789,1779739405232,-0.59,9.74,-0.12,-1.6875,2.375,7.4375,-0.6680908,-0.65185547,-0.2744751,-0.2310791
full round,1,Left Ankle,2994808,1779739405232,-0.53,9.78,-0.16,-1.625,1.6875,8.0625,-0.66796875,-0.6519165,-0.2741089,-0.23168945
full round,4,Right Wrist,35433458,1779739405236,9.508379,-4.338288,0.1914258,-9.09496,3.081112,0.08372784,-104.54408,-60.735134,83.04298,0.0
full round,3,Left Wrist,9230537,1779739405243,-1.165103,3.7953134,-2.251646,-9.124224,-52.310303,65.41922,120.168465,-35.65162,324.57346,0.0
full round,1,Left Ankle,2994823,1779739405275,-0.69,9.75,-0.18,-1.4375,1.3125,8.6875,-0.6676636,-0.6522217,-0.2732544,-0.23278809
full round,2,Right Ankle,2723202,1779739405281,-1.5262802,-2.907301,2.1966112,-0.23282054,-2.410658,-1.0168202,-52.727547,23.195902,170.00526,0.0
full round,1,Left Ankle,2994867,1779739405297,-0.46,9.82,-0.03,-1.5625,3.125,10.25,-0.6669922,-0.6525879,-0.27160645,-0.2355957
